"S" "q/q_s" "D/h"
0.000000e+00 1.000000e+00 9.178600e-06
6.250000e-03 9.993987e-01 4.114300e-05
1.250000e-02 9.986472e-01 6.552600e-05
1.875000e-02 9.982463e-01 8.893100e-05
2.500000e-02 9.980459e-01 1.111700e-04
3.125000e-02 9.981461e-01 1.328900e-04
3.750000e-02 9.982463e-01 1.541000e-04
4.375000e-02 9.981461e-01 1.750100e-04
5.000000e-02 9.980459e-01 1.955900e-04
5.625000e-02 9.979457e-01 2.159200e-04
6.250000e-02 9.979457e-01 2.359100e-04
6.875000e-02 9.978455e-01 2.556000e-04
7.500000e-02 9.977954e-01 2.748900e-04
8.125000e-02 9.976952e-01 2.937800e-04
8.750000e-02 9.975949e-01 3.121600e-04
9.375000e-02 9.974446e-01 3.300400e-04
1.000000e-01 9.972943e-01 3.473000e-04
1.062500e-01 9.971440e-01 3.639600e-04
1.125000e-01 9.969937e-01 3.798900e-04
1.187500e-01 9.967933e-01 3.951100e-04
1.250000e-01 9.966430e-01 4.095200e-04
1.312500e-01 9.964926e-01 4.231400e-04
1.375000e-01 9.963423e-01 4.358600e-04
1.437500e-01 9.961920e-01 4.477300e-04
1.500000e-01 9.960918e-01 4.586600e-04
1.562500e-01 9.958914e-01 4.686800e-04
1.625000e-01 9.957411e-01 4.777400e-04
1.687500e-01 9.955907e-01 4.858900e-04
1.750000e-01 9.954404e-01 4.930800e-04
1.812500e-01 9.953402e-01 4.993800e-04
1.875000e-01 9.952400e-01 5.047600e-04
1.937500e-01 9.951398e-01 5.093100e-04
2.000000e-01 9.949394e-01 5.130200e-04
2.062500e-01 9.948893e-01 5.159700e-04
2.125000e-01 9.947891e-01 5.182100e-04
2.187500e-01 9.947390e-01 5.198100e-04
2.250000e-01 9.946888e-01 5.208200e-04
2.312500e-01 9.945886e-01 5.213300e-04
2.375000e-01 9.945385e-01 5.214000e-04
2.437500e-01 9.944884e-01 5.211000e-04
2.500000e-01 9.944383e-01 5.205200e-04
2.562500e-01 9.943882e-01 5.197000e-04
2.625000e-01 9.944383e-01 5.187200e-04
2.687500e-01 9.943882e-01 5.176300e-04
2.750000e-01 9.943882e-01 5.164800e-04
2.812500e-01 9.943882e-01 5.153100e-04
2.875000e-01 9.943882e-01 5.141500e-04
2.937500e-01 9.943882e-01 5.130300e-04
3.000000e-01 9.944383e-01 5.119800e-04
3.062500e-01 9.944383e-01 5.110000e-04
3.125000e-01 9.944383e-01 5.101100e-04
3.187500e-01 9.944383e-01 5.093000e-04
3.250000e-01 9.943882e-01 5.085900e-04
3.312500e-01 9.943882e-01 5.079700e-04
3.375000e-01 9.944383e-01 5.074300e-04
3.437500e-01 9.944383e-01 5.069600e-04
3.500000e-01 9.944383e-01 5.065700e-04
3.562500e-01 9.944383e-01 5.062400e-04
3.625000e-01 9.944884e-01 5.059700e-04
3.687500e-01 9.944884e-01 5.057500e-04
3.750000e-01 9.944884e-01 5.055700e-04
3.812500e-01 9.944884e-01 5.054200e-04
3.875000e-01 9.944884e-01 5.053000e-04
3.937500e-01 9.944884e-01 5.052000e-04
4.000000e-01 9.944884e-01 5.051300e-04
4.062500e-01 9.944884e-01 5.050700e-04
4.125000e-01 9.944884e-01 5.050300e-04
4.187500e-01 9.944884e-01 5.049900e-04
4.250000e-01 9.944884e-01 5.049700e-04
4.312500e-01 9.944884e-01 5.049500e-04
4.375000e-01 9.944884e-01 5.049400e-04
4.437500e-01 9.944884e-01 5.049400e-04
4.500000e-01 9.944884e-01 5.049300e-04
4.562500e-01 9.944884e-01 5.049400e-04
4.625000e-01 9.944884e-01 5.049400e-04
4.687500e-01 9.944884e-01 5.049500e-04
4.750000e-01 9.944884e-01 5.049600e-04
4.812500e-01 9.944884e-01 5.049700e-04
4.875000e-01 9.944884e-01 5.049900e-04
4.937500e-01 9.944884e-01 5.050100e-04
5.000000e-01 9.944884e-01 5.050300e-04
5.062500e-01 9.944884e-01 5.050500e-04
5.125000e-01 9.944884e-01 5.050700e-04
5.187500e-01 9.944884e-01 5.051000e-04
5.250000e-01 9.944884e-01 5.051300e-04
5.312500e-01 9.944884e-01 5.051700e-04
5.375000e-01 9.944884e-01 5.052000e-04
5.437500e-01 9.944884e-01 5.052400e-04
5.500000e-01 9.944884e-01 5.052900e-04
5.562500e-01 9.944884e-01 5.053300e-04
5.625000e-01 9.944884e-01 5.053800e-04
5.687500e-01 9.944884e-01 5.054300e-04
5.750000e-01 9.944884e-01 5.054800e-04
5.812500e-01 9.944884e-01 5.055300e-04
5.875000e-01 9.944884e-01 5.055800e-04
5.937500e-01 9.944884e-01 5.056400e-04
6.000000e-01 9.944884e-01 5.057000e-04
6.062500e-01 9.944884e-01 5.057600e-04
6.125000e-01 9.944884e-01 5.058100e-04
6.187500e-01 9.944884e-01 5.058700e-04
6.250000e-01 9.944884e-01 5.059300e-04
6.312500e-01 9.944884e-01 5.059900e-04
6.375000e-01 9.944884e-01 5.060400e-04
6.437500e-01 9.944884e-01 5.061000e-04
6.500000e-01 9.944884e-01 5.061500e-04
6.562500e-01 9.944884e-01 5.062000e-04
6.625000e-01 9.945385e-01 5.062400e-04
6.687500e-01 9.945886e-01 5.062800e-04
6.750000e-01 9.945886e-01 5.063200e-04
6.812500e-01 9.945886e-01 5.063500e-04
6.875000e-01 9.946387e-01 5.063600e-04
6.937500e-01 9.946387e-01 5.063700e-04
7.000000e-01 9.946387e-01 5.063700e-04
7.062500e-01 9.946888e-01 5.063500e-04
7.125000e-01 9.947390e-01 5.063200e-04
7.187500e-01 9.947390e-01 5.062700e-04
7.250000e-01 9.947891e-01 5.062100e-04
7.312500e-01 9.947891e-01 5.061300e-04
7.375000e-01 9.947891e-01 5.060300e-04
7.437500e-01 9.947390e-01 5.059000e-04
7.500000e-01 9.947390e-01 5.057600e-04
7.562500e-01 9.947390e-01 5.055900e-04
7.625000e-01 9.947891e-01 5.054000e-04
7.687500e-01 9.947390e-01 5.051800e-04
7.750000e-01 9.946387e-01 5.049400e-04
7.812500e-01 9.946888e-01 5.046700e-04
7.875000e-01 9.946387e-01 5.043800e-04
7.937500e-01 9.946387e-01 5.040600e-04
8.000000e-01 9.946387e-01 5.037000e-04
8.062500e-01 9.946387e-01 5.033000e-04
8.125000e-01 9.946387e-01 5.028700e-04
8.187500e-01 9.945886e-01 5.023800e-04
