"S" "q/q_s" "D/h"
0.000000e+00 1.000000e+00 9.573800e-05
6.250000e-03 9.948876e-01 5.099100e-04
1.250000e-02 9.906273e-01 8.781600e-04
1.875000e-02 9.911516e-01 1.259200e-03
2.500000e-02 9.889231e-01 1.651400e-03
3.125000e-02 9.853182e-01 2.060600e-03
3.750000e-02 9.818444e-01 2.488000e-03
4.375000e-02 9.786328e-01 2.937200e-03
5.000000e-02 9.752900e-01 3.409400e-03
5.625000e-02 9.718818e-01 3.907100e-03
6.250000e-02 9.688667e-01 4.431100e-03
6.875000e-02 9.661795e-01 4.983100e-03
7.500000e-02 9.637543e-01 5.563500e-03
8.125000e-02 9.615914e-01 6.173800e-03
8.750000e-02 9.595595e-01 6.813600e-03
9.375000e-02 9.577243e-01 7.484300e-03
1.000000e-01 9.558891e-01 8.185200e-03
1.062500e-01 9.540539e-01 8.917500e-03
1.125000e-01 9.516288e-01 9.680100e-03
1.187500e-01 9.497280e-01 1.047400e-02
1.250000e-01 9.479583e-01 1.129800e-02
1.312500e-01 9.470407e-01 1.215400e-02
1.375000e-01 9.473029e-01 1.303900e-02
1.437500e-01 9.461231e-01 1.395400e-02
1.500000e-01 9.447467e-01 1.489900e-02
1.562500e-01 9.414039e-01 1.587400e-02
1.625000e-01 9.402897e-01 1.687800e-02
1.687500e-01 9.384545e-01 1.791000e-02
1.750000e-01 9.394376e-01 1.897100e-02
1.812500e-01 9.410107e-01 2.006000e-02
1.875000e-01 9.417317e-01 2.117600e-02
1.937500e-01 9.424526e-01 2.231900e-02
2.000000e-01 9.424526e-01 2.348900e-02
2.062500e-01 9.417972e-01 2.468500e-02
2.125000e-01 9.414695e-01 2.590700e-02
2.187500e-01 9.400275e-01 2.715500e-02
2.250000e-01 9.402242e-01 2.842700e-02
2.312500e-01 9.396998e-01 2.972400e-02
2.375000e-01 9.414039e-01 3.104400e-02
2.437500e-01 9.452710e-01 3.238900e-02
2.500000e-01 9.472373e-01 3.375700e-02
2.562500e-01 9.547749e-01 3.514800e-02
2.625000e-01 9.568723e-01 3.656000e-02
2.687500e-01 9.564790e-01 3.799600e-02
2.750000e-01 9.560857e-01 3.945200e-02
2.812500e-01 9.556269e-01 4.093000e-02
2.875000e-01 9.550370e-01 4.242700e-02
2.937500e-01 9.543816e-01 4.394600e-02
3.000000e-01 9.535951e-01 4.548400e-02
3.062500e-01 9.528085e-01 4.704300e-02
3.125000e-01 9.519565e-01 4.862000e-02
3.187500e-01 9.509733e-01 5.021600e-02
3.250000e-01 9.499902e-01 5.182900e-02
3.312500e-01 9.488759e-01 5.346200e-02
3.375000e-01 9.477617e-01 5.511100e-02
3.437500e-01 9.465819e-01 5.677800e-02
3.500000e-01 9.454021e-01 5.846200e-02
3.562500e-01 9.442223e-01 6.016200e-02
3.625000e-01 9.429770e-01 6.187800e-02
3.687500e-01 9.416006e-01 6.361000e-02
3.750000e-01 9.398964e-01 6.535700e-02
3.812500e-01 9.378646e-01 6.712000e-02
3.875000e-01 9.359638e-01 6.889700e-02
3.937500e-01 9.317035e-01 7.068900e-02
4.000000e-01 9.300649e-01 7.249400e-02
4.062500e-01 9.312447e-01 7.431300e-02
4.125000e-01 9.311136e-01 7.614600e-02
4.187500e-01 9.288196e-01 7.799200e-02
4.250000e-01 9.273776e-01 7.985000e-02
4.312500e-01 9.261323e-01 8.172100e-02
4.375000e-01 9.286229e-01 8.360300e-02
4.437500e-01 9.331454e-01 8.549900e-02
4.500000e-01 9.327522e-01 8.740500e-02
4.562500e-01 9.323589e-01 8.932300e-02
4.625000e-01 9.317035e-01 9.125100e-02
4.687500e-01 9.304582e-01 9.319000e-02
4.750000e-01 9.286229e-01 9.514000e-02
4.812500e-01 9.227240e-01 9.710000e-02
4.875000e-01 9.214787e-01 9.906900e-02
4.937500e-01 9.201678e-01 1.010500e-01
5.000000e-01 9.215442e-01 1.030400e-01
5.062500e-01 9.265911e-01 1.050300e-01
5.125000e-01 9.244937e-01 1.070400e-01
5.187500e-01 9.261978e-01 1.090600e-01
5.250000e-01 9.261978e-01 1.110800e-01
5.312500e-01 9.272465e-01 1.131100e-01
5.375000e-01 9.268532e-01 1.151500e-01
5.437500e-01 9.266566e-01 1.172000e-01
5.500000e-01 9.261978e-01 1.192500e-01
5.562500e-01 9.260012e-01 1.213100e-01
5.625000e-01 9.255424e-01 1.233800e-01
5.687500e-01 9.253457e-01 1.254500e-01
5.750000e-01 9.248869e-01 1.275400e-01
5.812500e-01 9.243626e-01 1.296200e-01
5.875000e-01 9.237727e-01 1.317200e-01
5.937500e-01 9.231173e-01 1.338200e-01
6.000000e-01 9.225274e-01 1.359200e-01
6.062500e-01 9.218064e-01 1.380300e-01
6.125000e-01 9.211509e-01 1.401500e-01
6.187500e-01 9.195779e-01 1.422700e-01
6.250000e-01 9.192502e-01 1.444000e-01
6.312500e-01 9.187914e-01 1.465300e-01
6.375000e-01 9.183326e-01 1.486600e-01
6.437500e-01 9.178082e-01 1.508000e-01
6.500000e-01 9.174150e-01 1.529500e-01
6.562500e-01 9.170217e-01 1.550900e-01
6.625000e-01 9.165629e-01 1.572500e-01
6.687500e-01 9.163007e-01 1.594000e-01
6.750000e-01 9.158419e-01 1.615600e-01
6.812500e-01 9.153831e-01 1.637200e-01
6.875000e-01 9.149243e-01 1.658900e-01
6.937500e-01 9.144655e-01 1.680600e-01
7.000000e-01 9.138756e-01 1.702300e-01
7.062500e-01 9.133512e-01 1.724100e-01
7.125000e-01 9.126958e-01 1.745900e-01
7.187500e-01 9.122370e-01 1.767700e-01
7.250000e-01 9.113849e-01 1.789500e-01
7.312500e-01 9.104673e-01 1.811300e-01
7.375000e-01 9.098119e-01 1.833200e-01
7.437500e-01 9.077800e-01 1.855100e-01
7.500000e-01 9.077800e-01 1.877000e-01
7.562500e-01 9.087632e-01 1.899000e-01
7.625000e-01 9.062070e-01 1.920900e-01
7.687500e-01 9.039130e-01 1.942900e-01
7.750000e-01 9.037819e-01 1.964900e-01
7.812500e-01 9.045684e-01 1.986900e-01
7.875000e-01 9.035197e-01 2.008900e-01
7.937500e-01 9.022744e-01 2.031000e-01
8.000000e-01 9.017500e-01 2.053000e-01
8.062500e-01 9.016845e-01 2.075100e-01
8.125000e-01 9.004391e-01 2.097100e-01
8.187500e-01 8.995215e-01 2.119200e-01
8.250000e-01 8.982762e-01 2.141300e-01
8.312500e-01 8.973586e-01 2.163400e-01
8.375000e-01 8.963099e-01 2.185500e-01
8.437500e-01 8.951301e-01 2.207600e-01
8.500000e-01 8.940814e-01 2.229700e-01
8.562500e-01 8.926394e-01 2.251900e-01
8.625000e-01 8.913286e-01 2.274000e-01
8.687500e-01 8.896900e-01 2.296100e-01
8.750000e-01 8.882480e-01 2.318300e-01
8.812500e-01 8.863473e-01 2.340400e-01
8.875000e-01 8.846431e-01 2.362600e-01
8.937500e-01 8.825457e-01 2.384700e-01
9.000000e-01 8.806449e-01 2.406900e-01
9.062500e-01 8.782854e-01 2.429000e-01
9.125000e-01 8.759258e-01 2.451200e-01
9.187500e-01 8.734351e-01 2.473400e-01
9.250000e-01 8.712067e-01 2.495500e-01
9.312500e-01 8.682572e-01 2.517700e-01
9.375000e-01 8.658321e-01 2.539900e-01
9.437500e-01 8.622272e-01 2.562000e-01
9.500000e-01 8.590155e-01 2.584200e-01
9.562500e-01 8.546897e-01 2.606400e-01
9.625000e-01 8.507570e-01 2.628600e-01
9.687500e-01 8.451203e-01 2.650700e-01
9.750000e-01 8.392213e-01 2.672900e-01
9.812500e-01 8.317494e-01 2.695100e-01
9.875000e-01 8.198860e-01 2.717200e-01
9.937500e-01 7.765616e-01 2.739400e-01
1.000000e+00 7.785934e-01 2.755600e-01
