"S" "q/q_s" "D/h"
0.000000e+00 1.000000e+00 0.000000e+00
6.250000e-03 1.000299e+00 0.000000e+00
1.250000e-02 1.000498e+00 0.000000e+00
1.875000e-02 1.000398e+00 0.000000e+00
2.500000e-02 1.000398e+00 0.000000e+00
3.125000e-02 1.000398e+00 0.000000e+00
3.750000e-02 1.000398e+00 0.000000e+00
4.375000e-02 1.000398e+00 0.000000e+00
5.000000e-02 1.000398e+00 0.000000e+00
5.625000e-02 1.000398e+00 0.000000e+00
6.250000e-02 1.000398e+00 0.000000e+00
6.875000e-02 1.000398e+00 0.000000e+00
7.500000e-02 1.000398e+00 0.000000e+00
8.125000e-02 1.000398e+00 0.000000e+00
8.750000e-02 1.000398e+00 0.000000e+00
9.375000e-02 1.000398e+00 0.000000e+00
1.000000e-01 1.000398e+00 0.000000e+00
1.062500e-01 1.000398e+00 0.000000e+00
1.125000e-01 1.000398e+00 0.000000e+00
1.187500e-01 1.000398e+00 0.000000e+00
1.250000e-01 1.000398e+00 0.000000e+00
1.312500e-01 1.000398e+00 0.000000e+00
1.375000e-01 1.000398e+00 0.000000e+00
1.437500e-01 1.000398e+00 0.000000e+00
1.500000e-01 1.000398e+00 0.000000e+00
1.562500e-01 1.000398e+00 0.000000e+00
1.625000e-01 1.000398e+00 0.000000e+00
1.687500e-01 1.000398e+00 0.000000e+00
1.750000e-01 1.000398e+00 0.000000e+00
1.812500e-01 1.000398e+00 0.000000e+00
1.875000e-01 1.000398e+00 0.000000e+00
1.937500e-01 1.000398e+00 0.000000e+00
2.000000e-01 1.000398e+00 0.000000e+00
2.062500e-01 1.000398e+00 0.000000e+00
2.125000e-01 1.000398e+00 0.000000e+00
2.187500e-01 1.000398e+00 0.000000e+00
2.250000e-01 1.000398e+00 0.000000e+00
2.312500e-01 1.000398e+00 0.000000e+00
2.375000e-01 1.000398e+00 0.000000e+00
2.437500e-01 1.000398e+00 0.000000e+00
2.500000e-01 1.000398e+00 0.000000e+00
2.562500e-01 1.000398e+00 0.000000e+00
2.625000e-01 1.000398e+00 0.000000e+00
2.687500e-01 1.000398e+00 0.000000e+00
2.750000e-01 1.000398e+00 0.000000e+00
2.812500e-01 1.000398e+00 0.000000e+00
2.875000e-01 1.000398e+00 0.000000e+00
2.937500e-01 1.000398e+00 0.000000e+00
3.000000e-01 1.000398e+00 0.000000e+00
3.062500e-01 1.000398e+00 0.000000e+00
3.125000e-01 1.000398e+00 0.000000e+00
3.187500e-01 1.000398e+00 0.000000e+00
3.250000e-01 1.000398e+00 0.000000e+00
3.312500e-01 1.000398e+00 0.000000e+00
3.375000e-01 1.000398e+00 0.000000e+00
3.437500e-01 1.000398e+00 0.000000e+00
3.500000e-01 1.000398e+00 0.000000e+00
3.562500e-01 1.000398e+00 0.000000e+00
3.625000e-01 1.000398e+00 0.000000e+00
3.687500e-01 1.000398e+00 0.000000e+00
3.750000e-01 1.000398e+00 0.000000e+00
