"S" "q/q_s" "D/h"
8.250000e-01 1.211998e+00 4.428300e-02
8.312500e-01 1.209862e+00 4.431500e-02
8.375000e-01 1.207578e+00 4.434500e-02
8.437500e-01 1.205194e+00 4.437300e-02
8.500000e-01 1.202662e+00 4.439800e-02
8.562500e-01 1.200030e+00 4.442200e-02
8.625000e-01 1.197249e+00 4.444400e-02
8.687500e-01 1.194269e+00 4.446400e-02
8.750000e-01 1.191091e+00 4.448300e-02
8.812500e-01 1.187764e+00 4.450100e-02
8.875000e-01 1.184188e+00 4.451700e-02
8.937500e-01 1.180315e+00 4.453200e-02
9.000000e-01 1.176193e+00 4.454700e-02
9.062500e-01 1.171823e+00 4.456000e-02
9.125000e-01 1.167155e+00 4.457300e-02
9.187500e-01 1.162090e+00 4.458600e-02
9.250000e-01 1.156677e+00 4.459800e-02
9.312500e-01 1.150867e+00 4.461000e-02
9.375000e-01 1.144510e+00 4.462100e-02
9.437500e-01 1.137607e+00 4.463300e-02
9.500000e-01 1.129960e+00 4.464400e-02
9.562500e-01 1.121518e+00 4.465600e-02
9.625000e-01 1.112082e+00 4.466800e-02
9.687500e-01 1.101256e+00 4.468000e-02
9.750000e-01 1.088543e+00 4.469200e-02
9.812500e-01 1.073099e+00 4.470500e-02
9.875000e-01 1.052888e+00 4.471700e-02
9.937500e-01 1.019963e+00 4.473000e-02
1.000000e+00 9.531708e-01 4.474000e-02
