"S" "q/q_s" "D/h"
0.000000e+00 1.000000e+00 0.000000e+00
6.250000e-03 1.000000e+00 0.000000e+00
1.250000e-02 1.000052e+00 0.000000e+00
1.875000e-02 1.000104e+00 0.000000e+00
2.500000e-02 1.000260e+00 0.000000e+00
3.125000e-02 1.000519e+00 0.000000e+00
3.750000e-02 1.000779e+00 0.000000e+00
4.375000e-02 1.000986e+00 0.000000e+00
5.000000e-02 1.001038e+00 0.000000e+00
5.625000e-02 1.000986e+00 0.000000e+00
6.250000e-02 1.000882e+00 0.000000e+00
6.875000e-02 1.000727e+00 0.000000e+00
7.500000e-02 1.000467e+00 0.000000e+00
8.125000e-02 1.000052e+00 0.000000e+00
8.750000e-02 9.994809e-01 0.000000e+00
9.375000e-02 9.988061e-01 0.000000e+00
1.000000e-01 9.980274e-01 0.000000e+00
1.062500e-01 9.971968e-01 0.000000e+00
1.125000e-01 9.962625e-01 0.000000e+00
1.187500e-01 9.953800e-01 0.000000e+00
1.250000e-01 9.944975e-01 0.000000e+00
1.312500e-01 9.936150e-01 0.000000e+00
1.375000e-01 9.928364e-01 0.000000e+00
1.437500e-01 9.921615e-01 0.000000e+00
1.500000e-01 9.914867e-01 0.000000e+00
1.562500e-01 9.909157e-01 0.000000e+00
1.625000e-01 9.903966e-01 0.000000e+00
1.687500e-01 9.899294e-01 0.000000e+00
1.750000e-01 9.895141e-01 0.000000e+00
1.812500e-01 9.890988e-01 0.000000e+00
1.875000e-01 9.886836e-01 0.000000e+00
1.937500e-01 9.883202e-01 0.000000e+00
2.000000e-01 9.879049e-01 0.000000e+00
2.062500e-01 9.875415e-01 0.000000e+00
2.125000e-01 9.871782e-01 0.000000e+00
2.187500e-01 9.868148e-01 0.000000e+00
2.250000e-01 9.864514e-01 0.000000e+00
2.312500e-01 9.860880e-01 0.000000e+00
2.375000e-01 9.857247e-01 0.000000e+00
2.437500e-01 9.853613e-01 0.000000e+00
2.500000e-01 9.850498e-01 0.000000e+00
2.562500e-01 9.846865e-01 0.000000e+00
