"S" "q/q_s" "D/h"
8.250000e-01 9.620443e-01 0.000000e+00
8.312500e-01 9.613942e-01 0.000000e+00
8.375000e-01 9.607441e-01 0.000000e+00
8.437500e-01 9.599940e-01 0.000000e+00
8.500000e-01 9.592439e-01 0.000000e+00
8.562500e-01 9.584438e-01 0.000000e+00
8.625000e-01 9.576436e-01 0.000000e+00
8.687500e-01 9.567435e-01 0.000000e+00
8.750000e-01 9.558434e-01 0.000000e+00
8.812500e-01 9.548932e-01 0.000000e+00
8.875000e-01 9.538431e-01 0.000000e+00
8.937500e-01 9.527429e-01 0.000000e+00
9.000000e-01 9.515427e-01 0.000000e+00
9.062500e-01 9.501925e-01 0.000000e+00
9.125000e-01 9.487423e-01 0.000000e+00
9.187500e-01 9.471421e-01 0.000000e+00
9.250000e-01 9.452918e-01 0.000000e+00
9.312500e-01 9.431915e-01 0.000000e+00
9.375000e-01 9.407911e-01 0.000000e+00
9.437500e-01 9.380407e-01 0.000000e+00
9.500000e-01 9.347902e-01 0.000000e+00
9.562500e-01 9.310397e-01 0.000000e+00
9.625000e-01 9.265390e-01 0.000000e+00
9.687500e-01 9.210382e-01 0.000000e+00
9.750000e-01 9.141871e-01 0.000000e+00
9.812500e-01 9.051358e-01 0.000000e+00
9.875000e-01 8.918338e-01 0.000000e+00
9.937500e-01 8.666800e-01 0.000000e+00
1.000000e+00 8.012202e-01 0.000000e+00
