Time; "Q/Q0"; "Theta"; "p/p0"
0.00020003; 0.32886; 67.5; 0.23777
0.00020003; 0.31368; 68.625; 0.22571
0.00020003; 0.30343; 69.75; 0.2154
0.00020003; 0.29235; 70.875; 0.20543
0.00020003; 0.27754; 72; 0.19452
0.00020003; 0.26416; 73.125; 0.18387
0.00020003; 0.25517; 74.25; 0.17525
0.00020003; 0.24322; 75.375; 0.16636
0.00020003; 0.22912; 76.5; 0.1565
0.00020003; 0.22014; 77.625; 0.14874
0.00020003; 0.20948; 78.75; 0.1406
0.00020003; 0.19809; 79.875; 0.1322
0.00020003; 0.18963; 81; 0.12521
0.00020003; 0.17916; 82.125; 0.11785
0.00020003; 0.169; 83.25; 0.11043
0.00020003; 0.1621; 84.375; 0.10434
0.00020003; 0.15343; 85.5; 0.098172
0.00020003; 0.14527; 86.625; 0.092128
0.00020003; 0.1373; 87.75; 0.086248
0.00020003; 0.12934; 88.875; 0.080544
